version,B,T,N,runtime
multithread,1,256, 1000,0.041560
multithread_shared,1,256, 1000,0.041888
multithread_reduction,1,256, 1000,0.042267
onethreadperblock,1,256, 10000,0.047015
multithread,1,256, 10000,0.041910
multithread_shared,1,256, 10000,0.071183
multithread_reduction,1,256, 10000,0.066201
onethreadperblock,1,256, 10000,0.046356
multithread,1,256, 10000,0.043457
multithread_shared,1,256, 10000,0.060823
multithread_reduction,1,256, 10000,0.042521
onethreadperblock,1,256, 10000,0.046618
multithread,1,256, 10000,0.044694
multithread_shared,1,256, 10000,0.060900
multithread_reduction,1,256, 10000,0.043315
onethreadperblock,1,256, 10000,0.048992
multithread,1,256, 10000,0.043250
multithread_shared,1,256, 10000,0.042616
multithread_reduction,1,256, 10000,0.063392
onethreadperblock,1,256, 10000,0.048078
multithread,1,256, 10000,0.042471
multithread_shared,1,256, 10000,0.042135
multithread_reduction,1,256, 10000,0.064371
onethreadperblock,1,256, 100000,0.117945
multithread,1,256, 100000,0.046916
multithread_shared,1,256, 100000,0.056372
multithread_reduction,1,256, 100000,0.043246
onethreadperblock,1,256, 100000,0.094576
multithread,1,256, 100000,0.042787
multithread_shared,1,256, 100000,0.044966
multithread_reduction,1,256, 100000,0.043019
onethreadperblock,1,256, 100000,0.093239
multithread,1,256, 100000,0.044163
multithread_shared,1,256, 100000,0.042514
multithread_reduction,1,256, 100000,0.043230
onethreadperblock,1,256, 100000,0.099069
multithread,1,256, 100000,0.043841
multithread_shared,1,256, 100000,0.042361
multithread_reduction,1,256, 100000,0.042442
onethreadperblock,1,256, 100000,0.096542
multithread,1,256, 100000,0.042314
multithread_shared,1,256, 100000,0.044322
multithread_reduction,1,256, 100000,0.043057
onethreadperblock,1,256, 1000000,0.551076
multithread,1,256, 1000000,0.067319
multithread_shared,1,256, 1000000,0.064748
multithread_reduction,1,256, 1000000,0.049776
onethreadperblock,1,256, 1000000,0.559667
multithread,1,256, 1000000,0.063032
multithread_shared,1,256, 1000000,0.047674
multithread_reduction,1,256, 1000000,0.047481
onethreadperblock,1,256, 1000000,0.571088
multithread,1,256, 1000000,0.062816
multithread_shared,1,256, 1000000,0.047042
multithread_reduction,1,256, 1000000,0.047955
onethreadperblock,1,256, 1000000,0.557210
multithread,1,256, 1000000,0.048218
multithread_shared,1,256, 1000000,0.047292
multithread_reduction,1,256, 1000000,0.046397
onethreadperblock,1,256, 1000000,0.549843
multithread,1,256, 1000000,0.048553
multithread_shared,1,256, 1000000,0.046891
multithread_reduction,1,256, 1000000,0.046798
onethreadperblock,1,256, 10000000,5.170513
multithread,1,256, 10000000,0.112716
multithread_shared,1,256, 10000000,0.101172
multithread_reduction,1,256, 10000000,0.112781
onethreadperblock,1,256, 10000000,5.155641
multithread,1,256, 10000000,0.117840
multithread_shared,1,256, 10000000,0.094514
multithread_reduction,1,256, 10000000,0.111936
onethreadperblock,1,256, 10000000,5.182166
multithread,1,256, 10000000,0.113696
multithread_shared,1,256, 10000000,0.095011
multithread_reduction,1,256, 10000000,0.095762
onethreadperblock,1,256, 10000000,5.150471
multithread,1,256, 10000000,0.111699
multithread_shared,1,256, 10000000,0.097006
multithread_reduction,1,256, 10000000,0.097142
onethreadperblock,1,256, 10000000,5.163291
multithread,1,256, 10000000,0.122469
multithread_shared,1,256, 10000000,0.111442
multithread_reduction,1,256, 10000000,0.096219
onethreadperblock,1,256, 100000000,50.931850
multithread,1,256, 100000000,0.583024
multithread_shared,1,256, 100000000,0.579748
multithread_reduction,1,256, 100000000,0.571546
onethreadperblock,1,256, 100000000,51.044960
multithread,1,256, 100000000,0.594917
multithread_shared,1,256, 100000000,0.584303
multithread_reduction,1,256, 100000000,0.597828
onethreadperblock,1,256, 100000000,51.049286
multithread,1,256, 100000000,0.598614
multithread_shared,1,256, 100000000,0.570777
multithread_reduction,1,256, 100000000,0.580290
onethreadperblock,1,256, 100000000,51.110439
multithread,1,256, 100000000,0.577854
multithread_shared,1,256, 100000000,0.602323
multithread_reduction,1,256, 100000000,0.583435
onethreadperblock,1,256, 100000000,51.088814
multithread,1,256, 100000000,0.588948
multithread_shared,1,256, 100000000,0.583986
multithread_reduction,1,256, 100000000,0.594852
onethreadperblock,1,256, 1000000000,509.490875
multithread,1,256, 1000000000,5.431117
